Library	ORF 	Plate	Row	Column	Notes
BooneSDLV2	YDL133W	2	8	9	
BooneSDLV2	YDL012C	2	8	10	
BooneSDLV2	YDL133C-A	2	8	11	
BooneSDLV2	YDL011C	2	8	12	
BooneSDLV2	YDL131W	2	8	13	
BooneSDLV2	YDL010W	2	8	14	
BooneSDLV2	YDL130W-A	2	8	15	
BooneSDLV2	YDL006W	2	8	16	
BooneSDLV2	YDL130W	2	8	17	
BooneSDLV2	YDL002C	2	8	18	
BooneSDLV2	YDL129W	2	8	19	
BooneSDLV2	YDL001W	2	8	20	
BooneSDLV2	YDL128W	2	8	21	
BooneSDLV2	YCR106W	2	8	22	
BooneSDLV2	YDL127W	2	8	23	
BooneSDLV2	YOR202W	2	8	24	
BooneSDLV2	YOR202W	2	9	1	
BooneSDLV2	YBR281C	2	9	2	
BooneSDLV2	YCR011C	2	9	3	
BooneSDLV2	YBR280C	2	9	4	
BooneSDLV2	YCR010C	2	9	5	
BooneSDLV2	YBR278W	2	9	6	
BooneSDLV2	YCR009C	2	9	7	
BooneSDLV2	YBR277C	2	9	8	
BooneSDLV2	YCR008W	2	9	9	
BooneSDLV2	YBR276C	2	9	10	
BooneSDLV2	YCR007C	2	9	11	
BooneSDLV2	YBR275C	2	9	12	
BooneSDLV2	YCR006C	2	9	13	
BooneSDLV2	YBR274W	2	9	14	
BooneSDLV2	YCR005C	2	9	15	
BooneSDLV2	YBR273C	2	9	16	
BooneSDLV2	YCR001W	2	9	17	
BooneSDLV2	YBR272C	2	9	18	
BooneSDLV2	YCL076W	2	9	19	
BooneSDLV2	YBR271W	2	9	20	
BooneSDLV2	YCL075W	2	9	21	
BooneSDLV2	YBR270C	2	9	22	
BooneSDLV2	YCL074W	2	9	23	
BooneSDLV2	YOR202W	2	9	24	
BooneSDLV2	YOR202W	2	10	1	
BooneSDLV2	YDL038C	2	10	2	
BooneSDLV2	YDL157C	2	10	3	
BooneSDLV2	YDL037C	2	10	4	
BooneSDLV2	YDL156W	2	10	5	
BooneSDLV2	YDL036C	2	10	6	
BooneSDLV2	YDL155W	2	10	7	
BooneSDLV2	YDL035C	2	10	8	
BooneSDLV2	YDL154W	2	10	9	
BooneSDLV2	YDL034W	2	10	10	
BooneSDLV2	YDL149W	2	10	11	
BooneSDLV2	YDL033C	2	10	12	"slow growing, petite"
BooneSDLV2	YDL146W	2	10	13	
BooneSDLV2	YDL027C	2	10	14	
BooneSDLV2	YDL144C	2	10	15	
BooneSDLV2	YDL026W	2	10	16	
BooneSDLV2	YDL142C	2	10	17	
BooneSDLV2	YDL025C	2	10	18	
BooneSDLV2	YDL138W	2	10	19	
BooneSDLV2	YDL024C	2	10	20	
BooneSDLV2	YDL137W	2	10	21	
BooneSDLV2	YDL023C	2	10	22	
BooneSDLV2	YDL136W	2	10	23	
BooneSDLV2	YOR202W	2	10	24	
BooneSDLV2	YOR202W	2	11	1	
BooneSDLV2	YBR293W	2	11	2	
